5
3 8 1
324558 198996 -104795 -31709
1443 122094 -15203 -67959
222569 376501 -127631 -54743
88597 51386 -648201 -395447
15203 54743 -324558 -579850
648201 268085 -355781 -376501
355781 74551 -297177 -249935
88597 80788 -617409 -395447
850670 395447 -222569 -122094
127631 249935 -303339 -198996
5 8 1
76575 14058 -497323 -98212
410877 76625 -155424 -405305
481719 316939 -400778 -425596
139099 15271 -561793 -872457
124421 66854 -312424 -15271
105482 454542 -145076 -134953
66747 66854 -312424 -93305
469941 719462 -68039 -233891
123892 35095 -469941 -316939
38352 398215 -363359 -719462
558619 405305 -13510 -126745
155424 409989 -76575 -363662
400778 233891 -43223 -66854
576382 157137 -10710 -76625
145076 538318 -123892 -8700
514391 8700 -481719 -14058
13510 363662 -273883 -378145
273883 98212 -54381 -291995
10710 134953 -514391 -409989
54381 52669 -139099 -482389
130017 576466 -105482 -157137
531133 415377 -239636 -576466
239636 804972 -734608 -454542
734608 382523 -85985 -538318
497323 425596 -124421 -52669
85985 689155 -38352 -35095
9 10 3
1609 634687 -48503 -134382
524831 576263 -434426 -246863
254119 192061 -164795 -634687
19378 164100 -50619 -229528
48503 200645 -1507 -346582
196996 133966 -8461 -200289
188620 406801 -660779 -192061
840995 404281 -179867 -490980
634479 296490 -74600 -191703
159628 596432 -52456 -404353
225833 447516 -391152 -114633
768840 145735 -18358 -280734
164795 8748 -50417 -200645
55627 90905 -709788 -19477
80010 344116 -258502 -39710
113347 325174 -18310 -10513
88339 191703 -196996 -404281
179867 200289 -857074 -805002
511831 470991 -73180 -406801
329131 52919 -436862 -15607
174798 229528 -421315 -64133
391152 137439 -64084 -296490
196996 478374 -8461 -364901
1507 375226 -377489 -52919
522905 179794 -148823 -180499
459754 300191 -302246 -222994
41385 28452 -768840 -204486
18310 86753 -524831 -445749
289497 416619 -80033 -652278
67278 22877 -88339 -82353
50619 180510 -254119 -287158
258502 181077 -200220 -108554
204463 684761 -787681 -218408
3403 212947 -74157 -621552
50417 111394 -864104 -375226
18466 128055 -511831 -132005
67377 53369 -12293 -308805
43152 346582 -329131 -463086
709788 404353 -67278 -179794
187260 39710 -162372 -576263
118648 246863 -67377 -470991
815205 990600 -74157 -325174
270738 93795 -225833 -596432
217775 10513 -467933 -846710
189639 310371 -312546 -159571
585070 134382 -43152 -549324
58250 230273 -594372 -15661
73180 308805 -289497 -112077
200220 965282 -270738 -80901
388731 846710 -18466 -125108
467933 445749 -118648 -128055
216507 218408 -326614 -145735
12293 19477 -522905 -416619
923862 652278 -58250 -111394
74600 300411 -136807 -133966
23636 64133 -819641 -337211
83427 280734 -372236 -220777
377489 117044 -689913 -67454
864104 15661 -459754 -117044
677525 196500 -421571 -17028
421315 287158 -1609 -158183
4948 80901 -159628 -90905
162372 108554 -4948 -44480
689913 222994 -41385 -310371
948621 125108 -677083 -164100
188548 251240 -455086 -990600
819641 158183 -585070 -58745
677083 132005 -188620 -180510
74157 16126 -187260 -86753
455086 453211 -80010 -16126
660779 112077 -923862 -8748
434426 44480 -55627 -53369
436862 67454 -189639 -913069
80033 180499 -677525 -230273
594372 17028 -156432 -300191
148823 82353 -840995 -196500
52456 114633 -634479 -22877
312546 204486 -83427 -620881
302246 24741 -216507 -28452
156432 47998 -204463 -24741
421571 490980 -323246 -47998
73180 303111 -289497 -112077
323246 805002 -328874 -684761
64084 500992 -203435 -300411
17 11 1
278033 52250 -150201 -129978
47747 151147 -126654 -40044
530498 448855 -259290 -530201
508111 241498 -178821 -109407
49163 26656 -321261 -798795
114643 794534 -345038 -236008
133783 78517 -554158 -540292
272996 651783 -250408 -469035
235516 98022 -4633 -366410
554158 195812 -170921 -439579
937574 82888 -442221 -625832
248113 54455 -713273 -475520
283747 150256 -235516 -2983
126726 879225 -13548 -379242
22923 63504 -143321 -56742
39768 3310 -27778 -611919
639783 449296 -422050 -63504
76729 64042 -145393 -15220
842000 212797 -457033 -31467
486141 669368 -743597 -763706
246579 8467 -352421 -181349
73584 403491 -109580 -40128
772002 719389 -318932 -42807
72870 496664 -496645 -78886
460956 271048 -762921 -418632
653200 395171 -293800 -217512
70342 109721 -51998 -35465
171166 460015 -530498 -719389
871079 173853 -288640 -237474
3017 90424 -816 -52250
464114 92465 -44460 -109721
133955 468071 -26312 -8186
178821 243450 -253865 -60237
293375 7444 -47747 -549173
95312 2701 -293390 -57066
74709 321844 -62480 -8467
103122 134526 -486297 -175506
4149 223794 -24314 -428264
18710 40044 -260554 -549972
244228 60856 -2335 -353526
298153 26746 -46732 -161692
344396 444303 -373410 -496664
86707 177339 -555590 -212797
250408 210109 -54796 -273957
227407 89478 -437048 -493161
37405 449105 -277811 -177459
153450 825398 -111237 -154161
783433 549972 -276172 -33188
9061 733588 -72870 -29208
252718 820612 -783433 -85912
15544 3511 -111 -49552
312036 166398 -450528 -822
116434 379242 -667458 -52316
354150 777578 -154566 -11185
